id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1210515114400591872,1210515114400591872,2019-12-27 16:27:48 IST,2019-12-27,16:27:48,+0530,998163714640576512,altstreetbet,ᴀʟᴛꜱᴛʀᴇᴇᴛ ʙᴇᴛꜱ,,$BAIDU at bottom of bull market. $BIDU  https://t.co/CHj9dYmCf5,en,[],[],['https://pbs.twimg.com/media/EMydEWOXkAAvTad.jpg'],3,3,10,[],"['baidu', 'bidu']",https://twitter.com/AltstreetBet/status/1210515114400591872,False,,1,https://pbs.twimg.com/media/EMydEWOXkAAvTad.jpg,,,,,,,[],,,,
1207753695783464960,1207753695783464960,2019-12-20 01:34:54 IST,2019-12-20,01:34:54,+0530,401575573,dividendc2,dividendc2,,FNGS MicroSectors FANG+ ETN  Twitter Inc $TWTR Tesla Inc $TSLA Apple Inc $AAPL Facebook $FB Alphabet  $GOOGL Alibaba G $BABA Netflix Inc $NFLX Amazon. com $AMZN Baidu Inc $BIDU NVIDIA $NVDA  10 acciones que representan a los líderes de la industria en las empresas de tecnología,ca,[],[],[],1,2,8,[],"['twtr', 'tsla', 'aapl', 'fb', 'googl', 'baba', 'nflx', 'amzn', 'bidu', 'nvda']",https://twitter.com/dividendc2/status/1207753695783464960,False,,0,,,,,,,,[],,,,
1207508105455710208,1207508105455710208,2019-12-19 09:19:01 IST,2019-12-19,09:19:01,+0530,801116888,cfromhertz,Christian Fromhertz,,"$BIDU Baidu, Inc.   coming out of Dec value area, 1st upside VPOC target at $132.89  https://t.co/0GUiEYeqkc",en,[],[],['https://pbs.twimg.com/media/EMHuOEWXUAEdvyf.png'],0,1,12,[],['bidu'],https://twitter.com/cfromhertz/status/1207508105455710208,False,,1,https://pbs.twimg.com/media/EMHuOEWXUAEdvyf.png,,,,,,,[],,,,
1206849690198777857,1206849690198777857,2019-12-17 13:42:42 IST,2019-12-17,13:42:42,+0530,285051289,arjunkharpal,Arjun Kharpal,,"Shares of China's so called BATs - Baidu, Alibaba, Tencent - all higher after US-China ""phase one"" deal (Baidu, Alibaba share price is after the US close yesterday)  $BABA $BIDU  https://t.co/U7FVGfdQqL",en,[],[],"['https://pbs.twimg.com/media/EL-XYwxWwAAPD8P.jpg', 'https://pbs.twimg.com/media/EL-XYwrWwAUk6AK.jpg', 'https://pbs.twimg.com/media/EL-XYwsX0AEpjxG.jpg']",0,6,9,[],"['baba', 'bidu']",https://twitter.com/ArjunKharpal/status/1206849690198777857,False,,1,https://pbs.twimg.com/media/EL-XYwxWwAAPD8P.jpg,,,,,,,[],,,,
1194735102179328003,1194735102179328003,2019-11-14 03:23:40 IST,2019-11-14,03:23:40,+0530,1565751108,craigbuj,Craig Bujnowski,,"Alibaba, Baidu, and Xiaomi all growing faster than overall Smart Speaker market 🇨🇳🗣️🖲️🚀👀 $BABA $BIDU $AMZN $GOOG  https://t.co/i6RX70rSHv  https://t.co/DxLDfx5j4A",en,[],['https://venturebeat.com/2019/11/13/amazon-shipped-10-4-million-smart-speakers-in-q3-2019-almost-tripling-google/'],['https://pbs.twimg.com/media/EJSNPi_WoAARhsX.jpg'],0,4,7,[],"['baba', 'bidu', 'amzn', 'goog']",https://twitter.com/craigbuj/status/1194735102179328003,False,,1,https://pbs.twimg.com/media/EJSNPi_WoAARhsX.jpg,,,,,,,[],,,,
1193179687079546880,1193179687079546880,2019-11-09 20:23:00 IST,2019-11-09,20:23:00,+0530,857693619406467072,gualestrit,Gualestrit,,Ganancias en la última semana  🔺Ubiquiti NW $UI +43.8% 🔺Dexcom $DXCM +25.9% 🔺Baidu $BIDU +19.0% 🔺Ralph Lauren $RL +16.1% 🔺Xerox $XRX +16.0%  🔻Uber $UBER -13.9% 🔻Autohome $ATHM -16.7% 🔻Roku $ROKU -16.8% 🔻Under Armour $UAA -16.9% 🔻Expedia $EXPE -26.5%,und,[],[],[],1,8,16,[],"['ui', 'dxcm', 'bidu', 'rl', 'xrx', 'uber', 'athm', 'roku', 'uaa', 'expe']",https://twitter.com/gualestrit/status/1193179687079546880,False,,0,,,,,,,,[],,,,
1192548586896031744,1192548586896031744,2019-11-08 02:35:14 IST,2019-11-08,02:35:14,+0530,95257097,mikealfred,Mike Alfred 🇺🇸,,I don't own many tech stocks because most are overvalued and overhyped. But a few were beat down to the point they represented good value. Baidu is one of them. Today it was up 13.5%. The media covered the details. All you need to know is that the stock was way too cheap. $BIDU,en,[],[],[],0,0,6,[],['bidu'],https://twitter.com/mikealfred/status/1192548586896031744,False,,0,,,,,,,,[],,,,
1192255644671201281,1192255644671201281,2019-11-07 07:11:11 IST,2019-11-07,07:11:11,+0530,285051289,arjunkharpal,Arjun Kharpal,,#Baidu shares up over 4% in after hours trade. Here's a run down of the earnings and why investors are happy with the quarter   $BIDU  https://t.co/ZOvl6gWEXx,en,[],[],[],3,5,10,['baidu'],['bidu'],https://twitter.com/ArjunKharpal/status/1192255644671201281,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1192254762307047424/pu/img/my_hNnH1ZzheuyfI.jpg,,,,,,,[],,,,
1176438860219211776,1176438860219211776,2019-09-24 15:40:56 IST,2019-09-24,15:40:56,+0530,146342882,pakbenikasim,🅟🅐🅚,,BAIDU  $BIDU   Swing trade potencial.  Probablemente pasado de frenada. Ha roto la directriz alcista pero puede tener un movimiento de vuelta relevante.  #bolsa #investing  https://t.co/qJZFLxFnaD,es,[],[],"['https://pbs.twimg.com/media/EFOM5dvWsAEGkpf.jpg', 'https://pbs.twimg.com/media/EFOM5dzXYAAi1ea.jpg', 'https://pbs.twimg.com/media/EFOM5dxXkAEmGB-.png']",2,2,8,"['bolsa', 'investing']",['bidu'],https://twitter.com/PakBenikasim/status/1176438860219211776,False,,1,https://pbs.twimg.com/media/EFOM5dvWsAEGkpf.jpg,,,,,,,[],,,,
1166032206533410819,1166032206533410819,2019-08-26 22:28:36 IST,2019-08-26,22:28:36,+0530,857693619406467072,gualestrit,Gualestrit,,Baidu supera a Google en ventas de smart speakers en el 2º trimestre de 2019 y ya se encuentra en segunda posición tras Amazon.  $BIDU $GOOGL $AMZN   https://t.co/uACMpOL4Co  https://t.co/drdf2KinZA,es,[],['https://www.canalys.com/newsroom/smart-speaker-market-q2-2019?ctid=497-f991eafe5696a8a67e4ddb47265c54b5'],['https://pbs.twimg.com/media/EC6UHCEW4AA1sZI.jpg'],0,4,8,[],"['bidu', 'googl', 'amzn']",https://twitter.com/gualestrit/status/1166032206533410819,False,,1,https://pbs.twimg.com/media/EC6UHCEW4AA1sZI.jpg,,,,,,,[],,,,
1165641116617781249,1165641116617781249,2019-08-25 20:34:33 IST,2019-08-25,20:34:33,+0530,25163231,convertbond,Lawrence McDonald,,FAANG Drawdowns  Baidu BIDU -64% Tesla TSLA -45% NVIDIA NVDA -45% Twitter TWTR -45% Tencent TCWHY -32% Netflix NFLX -31% Alibaba BABA -23% Facebook FB -19% Amazon AMZN -14% Apple AAPL -13% Google GOOGL -11%  Via @BearTrapsReport   #leadership,en,"[{'screen_name': 'beartrapsreport', 'name': 'the bear traps report', 'id': '3198452002'}]",[],[],3,14,28,['leadership'],[],https://twitter.com/Convertbond/status/1165641116617781249,False,,0,,,,,,,,[],,,,
1164594902807785472,1164594902807785472,2019-08-22 23:17:16 IST,2019-08-22,23:17:16,+0530,50360920,yogi_chan,Yogi Chan,,"EU officials want to set up a EUR 100bln wealth fund to bolster ""European champions"" against American and Chinese business rivals like Google ($GOOG), Apple ($AAPL), Facebook ($FB), Amazon ($AMZN), Microsoft ($MSFT), Baidu ($BIDU), Alibaba ($BABA) and Tencent ($TCEHY) -- POLITICO",en,[],[],[],2,8,12,[],[],https://twitter.com/Yogi_Chan/status/1164594902807785472,False,,0,,,,,,,,[],,,,
1163692849084473344,1163692849084473344,2019-08-20 11:32:50 IST,2019-08-20,11:32:50,+0530,19898168,cnbci,CNBC International,,"Despite macro headwinds and stiff competition from newer rivals, Baidu’s second-quarter earnings top estimates. CNBC’s @ArjunKharpal has more. $BIDU  https://t.co/U564rqEQl3  https://t.co/VxREP70gEC",en,"[{'screen_name': 'arjunkharpal', 'name': 'arjun kharpal', 'id': '285051289'}]",['https://cnb.cx/31Q3Dgc'],[],0,5,10,[],['bidu'],https://twitter.com/CNBCi/status/1163692849084473344,False,,1,https://pbs.twimg.com/media/ECYpaA6W4AAyM3q.jpg,,,,,,,[],,,,
1163680174040334336,1163680174040334336,2019-08-20 10:42:28 IST,2019-08-20,10:42:28,+0530,371333260,value_invest12,Value Investigator,,Baidu CEO warns employees of “pain”. $BIDU Core business is falling 9% and there seems more behind it than just a weak macro environment.  https://t.co/Bu8RAHu1Lt,en,[],[],['https://pbs.twimg.com/media/ECY48utWsAAZnRc.jpg'],0,2,8,[],['bidu'],https://twitter.com/value_invest12/status/1163680174040334336,False,,1,https://pbs.twimg.com/media/ECY48utWsAAZnRc.jpg,,,,,,,[],,,,
1163550328970719234,1163550328970719234,2019-08-20 02:06:30 IST,2019-08-20,02:06:30,+0530,857693619406467072,gualestrit,Gualestrit,,Baidu  - Ingresos: $3.840M vs $3.720M est - EPS: $0.96 vs $0.43 est  $BIDU +6.75% after-hours,fr,[],[],[],1,5,12,[],['bidu'],https://twitter.com/gualestrit/status/1163550328970719234,False,,0,,,,,,,,[],,,,
1163525398174621698,1163525398174621698,2019-08-20 00:27:26 IST,2019-08-20,00:27:26,+0530,21066148,mchaudhry82,Maria Chaudhry,,"$BIDU Baidu options imply 14.4% move in share price post-earnings, above median historical move  https://t.co/joxH92xn9n",en,[],[],['https://pbs.twimg.com/media/ECWsLufXUAElfKs.jpg'],0,0,8,[],['bidu'],https://twitter.com/mchaudhry82/status/1163525398174621698,False,,1,https://pbs.twimg.com/media/ECWsLufXUAElfKs.jpg,,,,,,,[],,,,
